source,country,bias,factual_reporting,press_freedom,media_type,popularity,mbfc_credibility_rating
9news.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
nbc11news.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
12news.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wibw.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wifr.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
247wallst.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
24ur.com,slovenia,least biased,mixed,moderate freedom,website,high traffic,high credibility
38north.org,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
audacy.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
join1440.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
abc7chicago.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
abc7ny.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
abc12.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
abs-cbn.com,philippines,least biased,high,limited freedom,tv station,high traffic,high credibility
actionnewsjax.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
adfontesmedia.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
lenconnect.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility
adweek.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility
africacheck.org,south africa,least biased,very high,mostly free,website,medium traffic,high credibility
agdaily.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility
afp.com,france,least biased,high,mostly free,news agency,high traffic,high credibility
ansa.it,italy,least biased,high,moderate freedom,news agency,high traffic,high credibility
agerpres.ro,romania,least biased,high,moderate freedom,news agency,medium traffic,high credibility
agweb.com,usa,right-center,high,mostly free,journal,medium traffic,high credibility
ahwatukee.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
airforcetimes.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
airwars.org,united kingdom,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
alabamanow.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
alreporter.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
democratherald.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
ad.nl,netherlands,least biased,high,mostly free,newspaper,high traffic,high credibility
allafrica.com,south africa,least biased,high,mostly free,website,medium traffic,high credibility
gmfus.org,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
alloaadvertiser.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
thealpenanews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
amarillo.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
americanheritage.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility
americanpressinstitute.org,usa,least biased,very high,mostly free,organization/foundation,minimal traffic,high credibility
amomama.com,cyprus,least biased,high,mostly free,website,high traffic,high credibility
adn.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
independentmail.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
andoveradvertiser.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
mlive.com,usa,least biased,high,mostly free,website,high traffic,high credibility
arcdigital.media,usa,least biased,high,mostly free,website,minimal traffic,high credibility
ardrossanherald.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
arirang.com,south korea,least biased,high,mostly free,tv station,high traffic,high credibility
armytimes.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
arstechnica.com,usa,least biased,high,mostly free,website,high traffic,high credibility
asiatimes.com,hong kong,least biased,high,limited freedom,newspaper,medium traffic,high credibility
summitdaily.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
athensmessenger.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
atlasobscura.com,usa,least biased,high,mostly free,website,high traffic,high credibility
auburnpub.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
aap.com.au,australia,least biased,high,mostly free,news agency,medium traffic,high credibility
avenuenews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
ayradvertiser.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
azfamily.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
babnet.net,tunisia,least biased,mixed,moderate freedom,website,medium traffic,medium credibility
ballotpedia.org,usa,least biased,very high,mostly freedom,organization/foundation,high traffic,high credibility
barrheadnews.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
barryanddistrictnews.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
basingstokegazette.co.uk,united kingdom,least biased,high,mostly free,newspaper,medium traffic,high credibility
mlive.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
beatricedailysun.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
bnd.com,usa,right-center,high,mostly free,website,medium traffic,high credibility
benzinga.com,usa,least biased,high,mostly free,website,high traffic,high credibility
bestlifeonline.com,usa,least biased,mixed,mostly free,website,high traffic,high credibility
bettergov.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
bicesteradvertiser.net,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
bigcountry995.com,usa,least biased,high,mostly free,radio station,minimal traffic,high credibility
bignewsnetwork.com,united arab emirates,least biased,mixed,limited freedom,website,medium traffic,high credibility
bigthink.com,usa,least biased,high,mostly free,website,high traffic,high credibility
sunherald.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
biography.com,usa,least biased,high,mostly free,website,high traffic,high credibility
bismarcktribune.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
blastingnews.com,united kingdom,least biased,high,mostly free,website,high traffic,high credibility
bleepingcomputer.com,usa,least biased,high,mostly free,website,high traffic,high credibility
bnonews.com,netherlands,least biased,high,mostly free,news agency,medium traffic,high credibility
bordercountiesadvertizer.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
borderreport.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
bordertelegraph.com,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
borehamwoodtimes.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
bournemouthecho.co.uk,united kingdom,least biased,high,mostly free,newspaper,high traffic,high credibility
bozemandailychronicle.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
bracknellnews.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
thetelegraphandargus.co.uk,united kingdom,least biased,high,mostly free,newspaper,high traffic,high credibility
braintreeandwithamtimes.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
brentwoodlive.co.uk,united kingdom,least biased,high,mostly free,newspaper,minimal traffic,high credibility
bridgemi.com,usa,left-center,high,mostly free,organization/foundation,medium traffic,high credibility
bringmethenews.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
heraldcourier.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
theeagle.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
buffalonews.com,usa,least biased,high,mostly free,newspaper,high traffic,high credibility
bullshido.net,usa,least biased,high,mostly free,website,minimal traffic,high credibility
shawlocal.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
business2community.com,usa,least biased,mixed,mostly free,website,minimal traffic,medium credibility
